vuela, ladra, caza
ladra, tiene colmillos, es medio lobo
tiene colmillos, cuello largo, tiene trompa
cuello largo, es mascota, jirafa
tiene trompa, le gusta entrar al agua, elefante
le gusta entrar al agua, es Felino, se sumerge por largo tiempo
se sumerge por largo tiempo, rinoceronte, hipopotamo
caza, come carrona, es rojo
come carrona, es insecto, buitre
es insecto, amarillo, mosca
es medio lobo, perro, husky
es rojo, aguila, gavilan
es mascota, raton, hamster
amarillo, pajaro, turpial
es Felino, jabali, Tigre
